nombre,tipo(sede_principal/biblioteca/centro),comunidad,latitud,longitud,destacada(si/no),horario,fotos_disponibles(si/no)
Administración Academia Forum,sede_principal,Chiguirí Arriba,8.6217347,-80.2414991,si,"Lun-Vie 8:00-16:00",si
Auditorio John Y. Keffer - Academia Forum,centro,Chiguirí Arriba,8.6260523,-80.2360815,si,"Eventos institucionales y ceremonias",si
Biblioteca Comunitaria Toabré,biblioteca,Toabré,8.5931,-80.3103,no,"Lun-Vie 13:00-17:00",no
Centro de Tutorías La Pintada,centro,La Pintada,8.6850,-80.5000,no,"Sáb 9:00-12:00",si
